Unnamed: 0,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,DATE
0,2DJX,C,09 20 2024,00363 890,33.7968,4245,07 02 2024
1,2DJX,P,09 20 2024,00363 890,1.3127,4245,07 02 2024
2,2DJX,C,09 20 2024,00389 530,12.2861,6499,07 02 2024
3,2DJX,P,09 20 2024,00389 530,5.1425,6499,07 02 2024
4,2DJX,C,09 20 2024,00390 390,11.7099,7776,07 02 2024
5,2DJX,P,09 20 2024,00390 390,5.4163,7776,07 02 2024
6,2DJX,C,09 20 2024,00392 190,10.5041,2580,07 02 2024
7,2DJX,P,09 20 2024,00392 190,5.9894,2580,07 02 2024
8,2DJX,C,09 20 2024,00392 650,10.2036,2579,07 02 2024
9,2DJX,P,09 20 2024,00392 650,6.1436,2579,07 02 2024
10,2DJX,C,09 20 2024,00395 160,8.6293,3840,07 02 2024
11,2DJX,P,09 20 2024,00395 160,7.0499,3840,07 02 2024
12,2DJX,C,10 18 2024,00400 000,8.4073,1000,07 02 2024
13,2DJX,C,10 18 2024,00400 010,8.4021,1000,07 02 2024
14,2DJX,C,11 15 2024,00400 000,10.5720,1000,07 02 2024
15,2DJX,C,11 15 2024,00400 010,10.5667,2000,07 02 2024
16,2DJX,C,12 20 2024,00240 470,156.7044,1173,07 02 2024
17,2DJX,P,12 20 2024,00240 470,0.3366,1173,07 02 2024
18,2DJX,C,12 20 2024,00251 150,146.3269,940,07 02 2024
19,2DJX,P,12 20 2024,00251 150,0.3798,940,07 02 2024
20,2DJX,C,12 20 2024,00261 010,136.7510,910,07 02 2024
21,2DJX,P,12 20 2024,00261 010,0.4245,910,07 02 2024
22,2DJX,C,12 20 2024,00262 810,135.0029,360,07 02 2024
23,2DJX,P,12 20 2024,00262 810,0.4327,360,07 02 2024
24,2DJX,C,12 20 2024,00264 120,133.7306,1700,07 02 2024
25,2DJX,P,12 20 2024,00264 120,0.4386,1700,07 02 2024
26,2DJX,C,12 20 2024,00265 310,132.5748,1614,07 02 2024
27,2DJX,P,12 20 2024,00265 310,0.4440,1614,07 02 2024
28,2DJX,C,12 20 2024,00265 890,132.0116,893,07 02 2024
29,2DJX,P,12 20 2024,00265 890,0.4467,893,07 02 2024
30,2DJX,C,12 20 2024,00266 520,131.3998,579,07 02 2024
31,2DJX,P,12 20 2024,00266 520,0.4495,579,07 02 2024
32,2DJX,C,12 20 2024,00268 000,129.9624,1062,07 02 2024
33,2DJX,P,12 20 2024,00268 000,0.4563,1062,07 02 2024
34,2DJX,C,12 20 2024,00270 260,127.7674,1100,07 02 2024
35,2DJX,P,12 20 2024,00270 260,0.4664,1100,07 02 2024
36,2DJX,C,12 20 2024,00270 910,127.1362,2113,07 02 2024
37,2DJX,P,12 20 2024,00270 910,0.4694,2113,07 02 2024
38,2DJX,C,12 20 2024,00271 050,127.0003,1233,07 02 2024
39,2DJX,P,12 20 2024,00271 050,0.4701,1233,07 02 2024
40,2DJX,C,12 20 2024,00271 080,126.9711,528,07 02 2024
41,2DJX,P,12 20 2024,00271 080,0.4702,528,07 02 2024
42,2DJX,C,12 20 2024,00271 750,126.3205,1078,07 02 2024
43,2DJX,P,12 20 2024,00271 750,0.4733,1078,07 02 2024
44,2DJX,C,12 20 2024,00273 520,124.6015,715,07 02 2024
45,2DJX,P,12 20 2024,00273 520,0.4813,715,07 02 2024
46,2DJX,C,12 20 2024,00276 520,121.6892,1721,07 02 2024
47,2DJX,P,12 20 2024,00276 520,0.4962,1721,07 02 2024
48,2DJX,C,12 20 2024,00280 540,117.7918,1738,07 02 2024
49,2DJX,P,12 20 2024,00280 540,0.5212,1738,07 02 2024
50,2DJX,C,12 20 2024,00287 310,111.2714,1334,07 02 2024
51,2DJX,P,12 20 2024,00287 310,0.6065,1334,07 02 2024
52,2DJX,C,12 20 2024,00288 670,109.9636,678,07 02 2024
53,2DJX,P,12 20 2024,00288 670,0.6257,678,07 02 2024
54,2DJX,C,12 20 2024,00291 000,107.7240,1322,07 02 2024
55,2DJX,P,12 20 2024,00291 000,0.6595,1322,07 02 2024
56,2DJX,P,12 20 2024,00301 000,0.8224,950,07 02 2024
57,2DJX,C,12 20 2024,00309 840,89.6639,3408,07 02 2024
58,2DJX,P,12 20 2024,00309 840,0.9820,3408,07 02 2024
59,2DJX,C,12 20 2024,00326 810,73.5183,3080,07 02 2024
60,2DJX,P,12 20 2024,00326 810,1.3944,3080,07 02 2024
61,2DJX,P,12 20 2024,00330 010,1.4954,900,07 02 2024
62,2DJX,C,12 20 2024,00330 670,69.8762,885,07 02 2024
63,2DJX,P,12 20 2024,00330 670,1.5187,885,07 02 2024
64,2DJX,C,12 20 2024,00333 870,66.8717,729,07 02 2024
65,2DJX,P,12 20 2024,00333 870,1.6365,729,07 02 2024
66,2DJX,C,12 20 2024,00336 280,64.6177,868,07 02 2024
67,2DJX,P,12 20 2024,00336 280,1.7339,868,07 02 2024
68,2DJX,C,12 20 2024,00336 400,64.5058,2032,07 02 2024
69,2DJX,P,12 20 2024,00336 400,1.7391,2032,07 02 2024
70,2DJX,C,12 20 2024,00338 520,62.5304,1010,07 02 2024
71,2DJX,P,12 20 2024,00338 520,1.8322,1010,07 02 2024
72,2DJX,C,12 20 2024,00338 660,62.4001,575,07 02 2024
73,2DJX,P,12 20 2024,00338 660,1.8385,575,07 02 2024
74,2DJX,C,12 20 2024,00341 460,59.8049,2306,07 02 2024
75,2DJX,P,12 20 2024,00341 460,1.9753,2306,07 02 2024
76,2DJX,C,12 20 2024,00344 660,56.8577,733,07 02 2024
77,2DJX,P,12 20 2024,00344 660,2.1505,733,07 02 2024
