Unnamed: 0,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,DATE
0,2DJX,C,06 21 2024,00391 160,10.2530,2587,04 03 2024
1,2DJX,P,06 21 2024,00391 160,6.6660,2587,04 03 2024
2,2DJX,C,06 21 2024,00392 730,9.3003,12888,04 03 2024
3,2DJX,P,06 21 2024,00392 730,7.2652,12888,04 03 2024
4,2DJX,C,06 21 2024,00392 820,9.2470,8375,04 03 2024
5,2DJX,P,06 21 2024,00392 820,7.3008,8375,04 03 2024
6,2DJX,C,06 21 2024,00393 300,8.9651,3860,04 03 2024
7,2DJX,P,06 21 2024,00393 300,7.4934,3860,04 03 2024
8,2DJX,C,06 21 2024,00393 310,8.9593,643,04 03 2024
9,2DJX,P,06 21 2024,00393 310,7.4974,643,04 03 2024
10,2DJX,C,06 21 2024,00395 130,7.9308,512,04 03 2024
11,2DJX,P,06 21 2024,00395 130,8.2681,512,04 03 2024
12,2DJX,P,08 16 2024,00360 000,2.8710,400,04 03 2024
13,2DJX,C,09 20 2024,00363 890,38.0459,4245,04 03 2024
14,2DJX,P,09 20 2024,00363 890,4.1359,4245,04 03 2024
15,2DJX,C,10 18 2024,00400 010,14.2136,1000,04 03 2024
16,2DJX,C,11 15 2024,00400 010,16.0931,2000,04 03 2024
17,2DJX,C,12 20 2024,00240 470,156.5971,1173,04 03 2024
18,2DJX,P,12 20 2024,00240 470,0.6060,1173,04 03 2024
19,2DJX,C,12 20 2024,00251 150,146.4463,940,04 03 2024
20,2DJX,P,12 20 2024,00251 150,0.7512,940,04 03 2024
21,2DJX,C,12 20 2024,00261 010,137.0799,910,04 03 2024
22,2DJX,P,12 20 2024,00261 010,0.8902,910,04 03 2024
23,2DJX,C,12 20 2024,00262 810,135.3777,360,04 03 2024
24,2DJX,P,12 20 2024,00262 810,0.9233,360,04 03 2024
25,2DJX,C,12 20 2024,00264 120,134.1396,1700,04 03 2024
26,2DJX,P,12 20 2024,00264 120,0.9481,1700,04 03 2024
27,2DJX,C,12 20 2024,00265 310,133.0152,1614,04 03 2024
28,2DJX,P,12 20 2024,00265 310,0.9710,1614,04 03 2024
29,2DJX,C,12 20 2024,00265 890,132.4673,893,04 03 2024
30,2DJX,P,12 20 2024,00265 890,0.9822,893,04 03 2024
31,2DJX,C,12 20 2024,00266 520,131.8723,579,04 03 2024
32,2DJX,P,12 20 2024,00266 520,0.9945,579,04 03 2024
33,2DJX,C,12 20 2024,00268 000,130.4750,1062,04 03 2024
34,2DJX,P,12 20 2024,00268 000,1.0240,1062,04 03 2024
35,2DJX,C,12 20 2024,00270 260,128.3430,1100,04 03 2024
36,2DJX,P,12 20 2024,00270 260,1.0707,1100,04 03 2024
37,2DJX,C,12 20 2024,00270 910,127.7308,2113,04 03 2024
38,2DJX,P,12 20 2024,00270 910,1.0852,2113,04 03 2024
39,2DJX,C,12 20 2024,00271 050,127.5990,1233,04 03 2024
40,2DJX,P,12 20 2024,00271 050,1.0883,1233,04 03 2024
41,2DJX,C,12 20 2024,00271 080,127.5708,528,04 03 2024
42,2DJX,P,12 20 2024,00271 080,1.0890,528,04 03 2024
43,2DJX,C,12 20 2024,00271 750,126.9400,1078,04 03 2024
44,2DJX,P,12 20 2024,00271 750,1.1041,1078,04 03 2024
45,2DJX,C,12 20 2024,00273 520,125.2744,715,04 03 2024
46,2DJX,P,12 20 2024,00273 520,1.1449,715,04 03 2024
47,2DJX,C,12 20 2024,00276 520,122.4542,1721,04 03 2024
48,2DJX,P,12 20 2024,00276 520,1.2169,1721,04 03 2024
49,2DJX,C,12 20 2024,00280 540,118.6810,1738,04 03 2024
50,2DJX,P,12 20 2024,00280 540,1.3190,1738,04 03 2024
51,2DJX,C,12 20 2024,00287 310,112.3431,1334,04 03 2024
52,2DJX,P,12 20 2024,00287 310,1.5077,1334,04 03 2024
53,2DJX,C,12 20 2024,00288 670,111.0731,678,04 03 2024
54,2DJX,P,12 20 2024,00288 670,1.5488,678,04 03 2024
55,2DJX,C,12 20 2024,00291 000,108.8981,1322,04 03 2024
56,2DJX,P,12 20 2024,00291 000,1.6200,1322,04 03 2024
57,2DJX,P,12 20 2024,00301 000,1.9518,950,04 03 2024
58,2DJX,C,12 20 2024,00309 840,91.4168,3408,04 03 2024
59,2DJX,P,12 20 2024,00309 840,2.3013,3408,04 03 2024
60,2DJX,C,12 20 2024,00326 810,75.8875,3080,04 03 2024
61,2DJX,P,12 20 2024,00326 810,3.1318,3080,04 03 2024
62,2DJX,P,12 20 2024,00330 010,3.3207,900,04 03 2024
63,2DJX,C,12 20 2024,00330 670,72.3942,885,04 03 2024
64,2DJX,P,12 20 2024,00330 670,3.3597,885,04 03 2024
65,2DJX,C,12 20 2024,00333 870,69.4982,729,04 03 2024
66,2DJX,P,12 20 2024,00333 870,3.5486,729,04 03 2024
67,2DJX,C,12 20 2024,00336 280,67.3315,868,04 03 2024
68,2DJX,P,12 20 2024,00336 280,3.7052,868,04 03 2024
