   SYMBOL   P/C   EXPIRATION   STRIKE-PRICE   MARK-PRICE   OPEN-INTEREST
      2DJX     C   12 16 2022  00253 560     90.0809      1903                                                                                  
      2DJX     P   12 16 2022  00253 560      0.1115      1903                                                                                  
      2DJX     C   12 16 2022  00259 800     83.8746      2044                                                                                  
      2DJX     P   12 16 2022  00259 800      0.1306      2044                                                                                  
      2DJX     C   12 16 2022  00261 300     82.3827      1160                                                                                  
      2DJX     P   12 16 2022  00261 300      0.1353      1160                                                                                  
      2DJX     C   12 16 2022  00262 340     81.3484      1836                                                                                  
      2DJX     P   12 16 2022  00262 340      0.1384      1836                                                                                  
      2DJX     C   12 16 2022  00264 010     79.6874      3666                                                                                  
      2DJX     P   12 16 2022  00264 010      0.1436      3666                                                                                  
      2DJX     C   12 16 2022  00274 160     69.5985      1769                                                                                  
      2DJX     P   12 16 2022  00274 160      0.1809      1769                                                                                  
      2DJX     C   12 16 2022  00274 430     69.3304      2827                                                                                  
      2DJX     P   12 16 2022  00274 430      0.1822      2827                                                                                  
      2DJX     C   12 16 2022  00277 470     66.3115      1776                                                                                  
      2DJX     P   12 16 2022  00277 470      0.1962      1776                                                                                  
      2DJX     C   12 16 2022  00292 870     51.0570      1026                                                                                  
      2DJX     P   12 16 2022  00292 870      0.3056      1026                                                                                  
      2DJX     C   12 16 2022  00293 930     50.0114      3408                                                                                  
      2DJX     P   12 16 2022  00293 930      0.3175      3408                                                                                  
      2DJX     C   12 16 2022  00301 370     42.6781      8308                                                                                  
      2DJX     P   12 16 2022  00301 370      0.4069      8308                                                                                  
      2DJX     C   12 16 2022  00301 470     42.5800       831                                                                                  
      2DJX     P   12 16 2022  00301 470      0.4085       831                                                                                  
      2DJX     C   12 16 2022  00301 990     42.0698       805                                                                                  
      2DJX     P   12 16 2022  00301 990      0.4171       805                                                                                  
      2DJX     C   12 16 2022  00303 760     40.3344      1648                                                                                  
      2DJX     P   12 16 2022  00303 760      0.4475      1648                                                                                  
      2DJX     C   12 16 2022  00304 940     39.1785      3283                                                                                  
      2DJX     P   12 16 2022  00304 940      0.4689      3283                                                                                  
      2DJX     C   12 16 2022  00307 830     36.3561      1304                                                                                  
      2DJX     P   12 16 2022  00307 830      0.5297      1304                                                                                  
      2DJX     C   12 16 2022  00312 990     31.3576      2404                                                                                  
      2DJX     P   12 16 2022  00312 990      0.6791      2404                                                                                  
      2DJX     C   12 16 2022  00316 430     28.0635      1745                                                                                  
      2DJX     P   12 16 2022  00316 430      0.8170      1745                                                                                  
      2DJX     C   12 16 2022  00319 550     25.1044       783                                                                                  
      2DJX     P   12 16 2022  00319 550      0.9706       783                                                                                  
      2DJX     C   12 16 2022  00322 820     22.0108      1550                                                                                  
      2DJX     P   12 16 2022  00322 820      1.1394      1550                                                                                  
      2DJX     C   12 16 2022  00325 510     19.5108      2152                                                                                  
      2DJX     P   12 16 2022  00325 510      1.3230      2152                                                                                  
      2DJX     C   12 16 2022  00326 440     18.6951       919                                                                                  
      2DJX     P   12 16 2022  00326 440      1.4352       919                                                                                  
      2DJX     C   12 16 2022  00327 590     17.6986       762                                                                                  
      2DJX     P   12 16 2022  00327 590      1.5860       762                                                                                  
      2DJX     C   12 16 2022  00327 740     17.5697       763                                                                                  
      2DJX     P   12 16 2022  00327 740      1.6067       763                                                                                  
      2DJX     C   12 16 2022  00327 960     17.3810      2138                                                                                  
      2DJX     P   12 16 2022  00327 960      1.6375      2138                                                                                  
      2DJX     P   12 16 2022  00330 010      1.9516       650                                                                                  
      2DJX     C   12 16 2022  00331 320     14.5579      6054                                                                                  
      2DJX     P   12 16 2022  00331 320      2.1666      6054                                                                                  
      2DJX     C   12 16 2022  00331 380     14.5084      1479                                                                                  
      2DJX     P   12 16 2022  00331 380      2.1769      1479                                                                                  
      2DJX     C   12 16 2022  00332 390     13.6823      3011                                                                                  
      2DJX     P   12 16 2022  00332 390      2.3584      3011                                                                                  
      2DJX     C   12 16 2022  00333 970     12.4185       899                                                                                  
      2DJX     P   12 16 2022  00333 970      2.6710       899                                                                                  
      2DJX     C   12 16 2022  00338 720      8.8654      1477                                                                                  
      2DJX     P   12 16 2022  00338 720      3.8567      1477                                                                                  
      2DJX     C   12 16 2022  00338 790      8.8161     11807                                                                                  
      2DJX     P   12 16 2022  00338 790      3.8773     11807                                                                                  
      2DJX     C   12 16 2022  00343 790      5.6618      1428                                                                                  
      2DJX     P   12 16 2022  00343 790      5.7113      1428                                                                                  
      2DJX     C   12 16 2022  00343 960      5.5664      1426                                                                                  
      2DJX     P   12 16 2022  00343 960      5.7855      1426                                                                                  
      2DJX     C   12 16 2022  00345 430      4.7797      2865                                                                                  
      2DJX     P   12 16 2022  00345 430      6.4653      2865                                                                                  
      2DJX     C   12 16 2022  00352 330      2.0317     10680                                                                                  
      2DJX     P   12 16 2022  00352 330     10.6012     10680                                                                                  
      2DJX     C   12 16 2022  00358 360      0.7796     11020                                                                                  
      2DJX     P   12 16 2022  00358 360     15.3650     11020                                                                                  
      2DJX     C   12 16 2022  00359 740      0.6043      8952                                                                                  
      2DJX     P   12 16 2022  00359 740     16.5665      8952                                                                                  
      2DJX     C   05 19 2023  00300 000     53.1506       400                                                                                  
      2DJX     C   12 15 2023  00226 450    126.3159       424                                                                                  
      2DJX     P   12 15 2023  00226 450      4.2319       424                                                                                  
      2DJX     C   12 15 2023  00242 970    111.1404      3131                                                                                  
      2DJX     P   12 15 2023  00242 970      4.7602      3131                                                                                  
      2DJX     C   12 15 2023  00247 220    107.2364      1558                                                                                  
      2DJX     P   12 15 2023  00247 220      4.8961      1558                                                                                  
      2DJX     C   12 15 2023  00257 170     98.2203      5957                                                                                  
      2DJX     P   12 15 2023  00257 170      5.3384      5957                                                                                  
      2DJX     C   12 15 2023  00297 410     66.6869      1000                                                                                  
      2DJX     P   12 15 2023  00297 410     12.0566      1000                                                                                  
      2DJX     C   12 15 2023  00297 610     66.5338       973                                                                                  
      2DJX     P   12 15 2023  00297 610     12.0937       973                                                                                  
      2DJX     P   12 15 2023  00301 000     12.7225       950                                                                                  
      2DJX     C   12 15 2023  00301 290     63.7184       800                                                                                  
      2DJX     P   12 15 2023  00301 290     12.7763       800                                                                                  
      2DJX     C   12 15 2023  00305 340     60.6198       953                                                                                  
      2DJX     P   12 15 2023  00305 340     13.5277       953                                                                                  
      2DJX     C   12 15 2023  00309 800     57.2076      8308                                                                                  
      2DJX     P   12 15 2023  00309 800     14.3551      8308                                                                                  
      2DJX     C   12 15 2023  00313 340     54.4992      1648                                                                                  
      2DJX     P   12 15 2023  00313 340     15.0118      1648                                                                                  
      2DJX     C   12 15 2023  00314 980     53.2463      3283                                                                                  
      2DJX     P   12 15 2023  00314 980     15.3178      3283                                                                                  
      2DJX     C   12 15 2023  00315 870     52.6457      4036                                                                                  
      2DJX     P   12 15 2023  00315 870     15.5632      4036                                                                                  
      2DJX     C   12 15 2023  00320 790     49.3701      2233                                                                                  
      2DJX     P   12 15 2023  00320 790     16.9646      2233                                                                                  
      2DJX     P   12 15 2023  00321 000     17.0244       250                                                                                  
      2DJX     C   12 15 2023  00321 760     48.7243      2404                                                                                  
      2DJX     P   12 15 2023  00321 760     17.2408      2404                                                                                  
      2DJX     C   12 15 2023  00326 320     45.7430       629                                                                                  
      2DJX     P   12 15 2023  00326 320     18.5941       629                                                                                  
      2DJX     C   12 15 2023  00329 040     44.0433      3118                                                                                  
      2DJX     P   12 15 2023  00329 040     19.4801      3118                                                                                  
      2DJX     C   12 15 2023  00332 990     41.5751      1550                                                                                  
      2DJX     P   12 15 2023  00332 990     20.7667      1550                                                                                  
      2DJX     C   12 15 2023  00336 100     39.6326      4552                                                                                  
      2DJX     P   12 15 2023  00336 100     21.7805      4552                                                                                  
      2DJX     C   12 15 2023  00336 650     39.2891      2316                                                                                  
      2DJX     P   12 15 2023  00336 650     21.9598      2316                                                                                  
      2DJX     C   12 15 2023  00336 760     39.2204      1930                                                                                  
      2DJX     P   12 15 2023  00336 760     21.9957      1930                                                                                  
      2DJX     C   12 15 2023  00336 800     39.1954      1442                                                                                  
      2DJX     P   12 15 2023  00336 800     22.0087      1442                                                                                  
      2DJX     C   12 15 2023  00337 050     39.0392      1513                                                                                  
      2DJX     P   12 15 2023  00337 050     22.0902      1513                                                                                  
      2DJX     C   12 15 2023  00337 470     38.7770      4531                                                                                  
      2DJX     P   12 15 2023  00337 470     22.2272      4531                                                                                  
      2DJX     C   12 15 2023  00338 290     38.2652       762                                                                                  
      2DJX     P   12 15 2023  00338 290     22.4949       762                                                                                  
      2DJX     C   12 15 2023  00340 540     36.8607       588                                                                                  
      2DJX     P   12 15 2023  00340 540     23.2292       588                                                                                  
      2DJX     C   12 15 2023  00343 300     35.1378      3011                                                                                  
