   SYMBOL   P/C   EXPIRATION   STRIKE-PRICE   MARK-PRICE   OPEN-INTEREST
      2DJX     C   12 16 2022  00253 560     84.0701      1903                                                                                  
      2DJX     P   12 16 2022  00253 560      0.1130      1903                                                                                  
      2DJX     C   12 16 2022  00259 800     77.8568      2044                                                                                  
      2DJX     P   12 16 2022  00259 800      0.1205      2044                                                                                  
      2DJX     C   12 16 2022  00261 300     76.3665      1160                                                                                  
      2DJX     P   12 16 2022  00261 300      0.1255      1160                                                                                  
      2DJX     C   12 16 2022  00262 340     75.3336      1836                                                                                  
      2DJX     P   12 16 2022  00262 340      0.1295      1836                                                                                  
      2DJX     C   12 16 2022  00264 010     73.6753      3666                                                                                  
      2DJX     P   12 16 2022  00264 010      0.1360      3666                                                                                  
      2DJX     C   12 16 2022  00274 160     63.6142      1769                                                                                  
      2DJX     P   12 16 2022  00274 160      0.1937      1769                                                                                  
      2DJX     C   12 16 2022  00274 430     63.3470      2827                                                                                  
      2DJX     P   12 16 2022  00274 430      0.1957      2827                                                                                  
      2DJX     C   12 16 2022  00277 470     60.3421      1776                                                                                  
      2DJX     P   12 16 2022  00277 470      0.2215      1776                                                                                  
      2DJX     C   12 16 2022  00292 870     45.1988      1026                                                                                  
      2DJX     P   12 16 2022  00292 870      0.4309      1026                                                                                  
      2DJX     C   12 16 2022  00293 930     44.1577      3408                                                                                  
      2DJX     P   12 16 2022  00293 930      0.4466      3408                                                                                  
      2DJX     C   12 16 2022  00301 370     36.8851      8308                                                                                  
      2DJX     P   12 16 2022  00301 370      0.5911      8308                                                                                  
      2DJX     C   12 16 2022  00301 470     36.7893       831                                                                                  
      2DJX     P   12 16 2022  00301 470      0.5950       831                                                                                  
      2DJX     C   12 16 2022  00301 990     36.2916       805                                                                                  
      2DJX     P   12 16 2022  00301 990      0.6157       805                                                                                  
      2DJX     C   12 16 2022  00303 760     34.6029      1648                                                                                  
      2DJX     P   12 16 2022  00303 760      0.6915      1648                                                                                  
      2DJX     C   12 16 2022  00304 940     33.4821      3283                                                                                  
      2DJX     P   12 16 2022  00304 940      0.7471      3283                                                                                  
      2DJX     C   12 16 2022  00307 830     30.7491      1304                                                                                  
      2DJX     P   12 16 2022  00307 830      0.8952      1304                                                                                  
      2DJX     C   12 16 2022  00312 990     25.9638      2404                                                                                  
      2DJX     P   12 16 2022  00312 990      1.2541      2404                                                                                  
      2DJX     C   12 16 2022  00316 430     22.8648      1745                                                                                  
      2DJX     P   12 16 2022  00316 430      1.5846      1745                                                                                  
      2DJX     C   12 16 2022  00319 550     20.1336       783                                                                                  
      2DJX     P   12 16 2022  00319 550      1.9637       783                                                                                  
      2DJX     C   12 16 2022  00322 820     17.3985      1550                                                                                  
      2DJX     P   12 16 2022  00322 820      2.4886      1550                                                                                  
      2DJX     C   12 16 2022  00325 510     15.2456      2152                                                                                  
      2DJX     P   12 16 2022  00325 510      3.0175      2152                                                                                  
      2DJX     C   12 16 2022  00326 440     14.5235       919                                                                                  
      2DJX     P   12 16 2022  00326 440      3.2225       919                                                                                  
      2DJX     C   12 16 2022  00327 590     13.6475       762                                                                                  
      2DJX     P   12 16 2022  00327 590      3.4930       762                                                                                  
      2DJX     C   12 16 2022  00327 740     13.5347       763                                                                                  
      2DJX     P   12 16 2022  00327 740      3.5297       763                                                                                  
      2DJX     C   12 16 2022  00327 960     13.3698      2138                                                                                  
      2DJX     P   12 16 2022  00327 960      3.5841      2138                                                                                  
      2DJX     P   12 16 2022  00330 010      4.1279       650                                                                                  
      2DJX     C   12 16 2022  00331 320     10.9581      6054                                                                                  
      2DJX     P   12 16 2022  00331 320      4.5221      6054                                                                                  
      2DJX     C   12 16 2022  00331 380     10.9171      1479                                                                                  
      2DJX     P   12 16 2022  00331 380      4.5409      1479                                                                                  
      2DJX     C   12 16 2022  00332 390     10.2363      3011                                                                                  
      2DJX     P   12 16 2022  00332 390      4.8669      3011                                                                                  
      2DJX     C   12 16 2022  00333 970      9.2099       899                                                                                  
      2DJX     P   12 16 2022  00333 970      5.4157       899                                                                                  
      2DJX     C   12 16 2022  00338 790      6.4565     11807                                                                                  
      2DJX     P   12 16 2022  00338 790      7.4675     11807                                                                                  
      2DJX     C   12 16 2022  00343 790      4.1669      1428                                                                                  
      2DJX     P   12 16 2022  00343 790     10.1626      1428                                                                                  
      2DJX     C   12 16 2022  00343 960      4.0992      1426                                                                                  
      2DJX     P   12 16 2022  00343 960     10.2644      1426                                                                                  
      2DJX     C   12 16 2022  00345 430      3.5537      2865                                                                                  
      2DJX     P   12 16 2022  00345 430     11.1843      2865                                                                                  
      2DJX     C   12 16 2022  00352 330      1.7411     10680                                                                                  
      2DJX     P   12 16 2022  00352 330     16.2505     10680                                                                                  
      2DJX     C   12 16 2022  00358 360      0.8515     11020                                                                                  
      2DJX     P   12 16 2022  00358 360     21.3724     11020                                                                                  
      2DJX     C   12 16 2022  00359 740      0.7138      8952                                                                                  
      2DJX     P   12 16 2022  00359 740     22.6104      8952                                                                                  
      2DJX     C   05 19 2023  00300 000     48.7061       400                                                                                  
      2DJX     C   12 15 2023  00226 450    121.6539       424                                                                                  
      2DJX     P   12 15 2023  00226 450      5.4989       424                                                                                  
      2DJX     C   12 15 2023  00242 970    106.8906      3131                                                                                  
      2DJX     P   12 15 2023  00242 970      6.4272      3131                                                                                  
      2DJX     C   12 15 2023  00247 220    103.0927      1558                                                                                  
      2DJX     P   12 15 2023  00247 220      6.6662      1558                                                                                  
      2DJX     C   12 15 2023  00257 170     94.3520      5957                                                                                  
      2DJX     P   12 15 2023  00257 170      7.3766      5957                                                                                  
      2DJX     C   12 15 2023  00297 410     62.2269      1000                                                                                  
      2DJX     P   12 15 2023  00297 410     13.4738      1000                                                                                  
      2DJX     C   12 15 2023  00297 610     62.0893       973                                                                                  
      2DJX     P   12 15 2023  00297 610     13.5261       973                                                                                  
      2DJX     P   12 15 2023  00301 000     14.4130       950                                                                                  
      2DJX     C   12 15 2023  00301 290     59.5566       800                                                                                  
      2DJX     P   12 15 2023  00301 290     14.4889       800                                                                                  
      2DJX     C   12 15 2023  00305 340     56.7692       953                                                                                  
      2DJX     P   12 15 2023  00305 340     15.5484       953                                                                                  
      2DJX     C   12 15 2023  00309 800     53.6997      8308                                                                                  
      2DJX     P   12 15 2023  00309 800     16.7153      8308                                                                                  
      2DJX     C   12 15 2023  00313 340     51.2633      1648                                                                                  
      2DJX     P   12 15 2023  00313 340     17.6414      1648                                                                                  
      2DJX     C   12 15 2023  00314 980     50.1346      3283                                                                                  
      2DJX     P   12 15 2023  00314 980     18.0704      3283                                                                                  
      2DJX     C   12 15 2023  00315 870     49.5221      4036                                                                                  
      2DJX     P   12 15 2023  00315 870     18.3033      4036                                                                                  
      2DJX     C   12 15 2023  00320 790     46.1360      2233                                                                                  
      2DJX     P   12 15 2023  00320 790     19.5905      2233                                                                                  
      2DJX     P   12 15 2023  00321 000     19.6454       250                                                                                  
      2DJX     C   12 15 2023  00321 760     45.4684      2404                                                                                  
      2DJX     P   12 15 2023  00321 760     19.8442      2404                                                                                  
      2DJX     C   12 15 2023  00326 320     42.3300       629                                                                                  
      2DJX     P   12 15 2023  00326 320     21.0372       629                                                                                  
      2DJX     C   12 15 2023  00329 040     40.4580      3118                                                                                  
      2DJX     P   12 15 2023  00329 040     21.7488      3118                                                                                  
      2DJX     C   12 15 2023  00332 990     37.8454      1550                                                                                  
      2DJX     P   12 15 2023  00332 990     22.8882      1550                                                                                  
      2DJX     C   12 15 2023  00336 100     35.8902      4552                                                                                  
      2DJX     P   12 15 2023  00336 100     23.8870      4552                                                                                  
      2DJX     C   12 15 2023  00336 650     35.5632      2316                                                                                  
      2DJX     P   12 15 2023  00336 650     24.0824      2316                                                                                  
      2DJX     C   12 15 2023  00336 760     35.4979      1930                                                                                  
      2DJX     P   12 15 2023  00336 760     24.1217      1930                                                                                  
      2DJX     C   12 15 2023  00336 800     35.4742      1442                                                                                  
      2DJX     P   12 15 2023  00336 800     24.1359      1442                                                                                  
      2DJX     C   12 15 2023  00337 050     35.3261      1513                                                                                  
      2DJX     P   12 15 2023  00337 050     24.2253      1513                                                                                  
      2DJX     C   12 15 2023  00337 470     35.0780      4531                                                                                  
      2DJX     P   12 15 2023  00337 470     24.3761      4531                                                                                  
      2DJX     C   12 15 2023  00338 290     34.5956       762                                                                                  
      2DJX     P   12 15 2023  00338 290     24.6726       762                                                                                  
      2DJX     C   12 15 2023  00340 540     33.2990       588                                                                                  
      2DJX     P   12 15 2023  00340 540     25.5132       588                                                                                  
      2DJX     C   12 15 2023  00343 300     31.7901      3011                                                                                  
      2DJX     P   12 15 2023  00343 300     26.6259      3011                                                                                  
      2DJX     C   12 15 2023  00344 950     30.8961       899                                                                                  
      2DJX     P   12 15 2023  00344 950     27.2992       899                                                                                  
      2DJX     C   12 15 2023  00346 240     30.1972       428                                                                                  
      2DJX     P   12 15 2023  00346 240     27.8256       428                                                                                  
      2DJX     C   12 15 2023  00353 590     26.3786      1125                                                                                  
      2DJX     P   12 15 2023  00353 590     30.9885      1125                                                                                  
      2DJX     C   12 15 2023  00371 000     18.8134       250                                                                                  
      2DJX     C   12 20 2024  00240 470    116.2087      1173                                                                                  
      2DJX     P   12 20 2024  00240 470      8.8172      1173                                                                                  
      2DJX     C   12 20 2024  00251 150    107.9477       940                                                                                  
      2DJX     P   12 20 2024  00251 150     10.2882       940                                                                                  
      2DJX     C   12 20 2024  00261 010    100.4286       910                                                                                  
      2DJX     P   12 20 2024  00261 010     11.7539       910                                                                                  
      2DJX     C   12 20 2024  00262 810     99.1210       360                                                                                  
      2DJX     P   12 20 2024  00262 810     12.0864       360                                                                                  
      2DJX     C   12 20 2024  00264 120     98.1735      1700                                                                                  
      2DJX     P   12 20 2024  00264 120     12.3326      1700                                                                                  
      2DJX     C   12 20 2024  00265 310     97.3170      1614                                                                                  
      2DJX     P   12 20 2024  00265 310     12.5605      1614                                                                                  
      2DJX     C   12 20 2024  00265 890     96.9020       893                                                                                  
      2DJX     P   12 20 2024  00265 890     12.6740       893                                                                                  
      2DJX     C   12 20 2024  00266 520     96.4531       579                                                                                  
      2DJX     P   12 20 2024  00266 520     12.7992       579                                                                                  
      2DJX     C   12 20 2024  00268 000     95.4005      1062                                                                                  
      2DJX     P   12 20 2024  00268 000     13.0952      1062                                                                                  
      2DJX     C   12 20 2024  00270 260     93.7932      1100                                                                                  
      2DJX     P   12 20 2024  00270 260     13.5473      1100                                                                                  
      2DJX     C   12 20 2024  00270 910     93.3309      2113                                                                                  
      2DJX     P   12 20 2024  00270 910     13.6773      2113                                                                                  
      2DJX     C   12 20 2024  00271 050     93.2313      1233                                                                                  
      2DJX     P   12 20 2024  00271 050     13.7053      1233                                                                                  
      2DJX     C   12 20 2024  00271 080     93.2100       528                                                                                  
      2DJX     P   12 20 2024  00271 080     13.7113       528                                                                                  
      2DJX     C   12 20 2024  00271 750     92.7335      1078                                                                                  
      2DJX     P   12 20 2024  00271 750     13.8453      1078                                                                                  
      2DJX     C   12 20 2024  00273 520     91.4747       715                                                                                  
      2DJX     P   12 20 2024  00273 520     14.1994       715                                                                                  
      2DJX     C   12 20 2024  00276 520     89.3410      1721                                                                                  
      2DJX     P   12 20 2024  00276 520     14.7994      1721                                                                                  
      2DJX     C   12 20 2024  00280 540     86.4820      1738                                                                                  
      2DJX     P   12 20 2024  00280 540     15.6035      1738                                                                                  
      2DJX     C   12 20 2024  00287 310     81.6671      1334                                                                                  
      2DJX     P   12 20 2024  00287 310     16.9577      1334                                                                                  
      2DJX     C   12 20 2024  00288 670     80.6999       678                                                                                  
      2DJX     P   12 20 2024  00288 670     17.2298       678                                                                                  
      2DJX     C   12 20 2024  00291 000     79.0604      1322                                                                                  
      2DJX     P   12 20 2024  00291 000     17.7135      1322                                                                                  
      2DJX     P   12 20 2024  00301 000     20.0779       950                                                                                  
      2DJX     C   12 20 2024  00309 840     66.6329      3408                                                                                  
      2DJX     P   12 20 2024  00309 840     22.4536      3408                                                                                  
      2DJX     C   12 20 2024  00326 810     56.2516      3080                                                                                  
      2DJX     P   12 20 2024  00326 810     27.5358      3080                                                                                  
      2DJX     P   12 20 2024  00330 010     28.5031       900                                                                                  
      2DJX     C   12 20 2024  00330 670     53.9071       885                                                                                  
      2DJX     P   12 20 2024  00330 670     28.7087       885                                                                                  
      2DJX     C   12 20 2024  00333 870     52.0040       729                                                                                  
      2DJX     P   12 20 2024  00333 870     29.7215       729                                                                                  
      2DJX     C   12 20 2024  00336 280     50.6122       868                                                                                  
      2DJX     P   12 20 2024  00336 280     30.5258       868                                                                                  
      2DJX     C   12 20 2024  00336 400     50.5445      2032                                                                                  
      2DJX     P   12 20 2024  00336 400     30.5675      2032                                                                                  
      2DJX     C   12 20 2024  00338 520     49.3528      1010                                                                                  
      2DJX     P   12 20 2024  00338 520     31.3076      1010                                                                                  
      2DJX     C   12 20 2024  00338 660     49.2741       575                                                                                  
      2DJX     P   12 20 2024  00338 660     31.3565       575                                                                                  
      2DJX     C   12 20 2024  00341 460     47.7002       783                                                                                  
      2DJX     P   12 20 2024  00341 460     32.3341       783                                                                                  
      2DJX     C   12 20 2024  00344 660     45.9072       733                                                                                  
      2DJX     P   12 20 2024  00344 660     33.4569       733                                                                                  
      2DJX     C   12 20 2024  00345 610     45.3929      1824                                                                                  
      2DJX     P   12 20 2024  00345 610     33.8084      1824                                                                                  
      2DJX     C   12 20 2024  00347 160     44.5711      1512                                                                                  
      2DJX     P   12 20 2024  00347 160     34.3990      1512                                                                                  
      2DJX     C   12 20 2024  00347 610     44.3339      1537                                                                                  
      2DJX     P   12 20 2024  00347 610     34.5718      1537                                                                                  
      2DJX     C   12 20 2024  00347 700     44.2866       615                                                                                  
      2DJX     P   12 20 2024  00347 700     34.6065       615                                                                                  
      2DJX     C   12 20 2024  00349 410     43.3911       763                                                                                  
      2DJX     P   12 20 2024  00349 410     35.2693       763                                                                                  
      2DJX     C   12 20 2024  00349 790     43.1934      2131                                                                                  
      2DJX     P   12 20 2024  00349 790     35.4178      2131                                                                                  
      2DJX     C   12 20 2024  00350 550     42.7993      1405                                                                                  
      2DJX     P   12 20 2024  00350 550     35.7163      1405                                                                                  
      2DJX     C   12 20 2024  00355 580     40.2322      1474                                                                                  
      2DJX     P   12 20 2024  00355 580     37.7327      1474                                                                                  
      2DJX     C   12 20 2024  00420 010     14.2965       825                                                                                  
      2DJX     C   12 19 2025  00258 950    110.7974      4024                                                                                  
      2DJX     P   12 19 2025  00258 950     17.7144      4024                                                                                  
