,DATE,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME,TIME-TO-EXPIRATION,IV
33,2024-04-08,2NDX,C,2024-06-21,16716.66,1718.649,17,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.657983103680881
34,2024-04-08,2NDX,C,2024-06-21,17888.35,813.5634,57,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4873620684235575
35,2024-04-08,2NDX,C,2024-06-21,18143.84,655.8669,14,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4553673734941905
36,2024-04-08,2NDX,C,2024-06-21,18157.0,648.1589,98,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4537552232725458
37,2024-04-08,2NDX,C,2024-06-21,18208.0,618.736,8,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4475595663020717
38,2024-04-08,2NDX,C,2024-06-21,18226.0,608.4521,139,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4453655541611443
39,2024-04-08,2NDX,C,2024-06-21,18252.0,593.6301,111,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.44216556140713
40,2024-04-08,2NDX,C,2024-06-21,18258.07,590.3167,181,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4414676012829391
41,2024-04-08,2NDX,C,2024-06-21,18258.33,590.1752,251,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4414378078435879
42,2024-04-08,2NDX,C,2024-06-21,18261.75,588.3153,28,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4410459708262494
43,2024-04-08,2NDX,C,2024-06-21,18264.75,586.6837,139,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4407014965926014
44,2024-04-08,2NDX,C,2024-06-21,18268.77,584.4975,28,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4402389036967287
45,2024-04-08,2NDX,C,2024-06-21,18274.0,581.6532,55,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4396352334871374
46,2024-04-08,2NDX,C,2024-06-21,18287.0,574.5832,249,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4381257305613321
47,2024-04-08,2NDX,C,2024-06-21,18339.0,546.7492,33,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4321310777041154
48,2024-04-08,2NDX,C,2024-06-21,18342.98,544.6861,28,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4316899372652202
49,2024-04-08,2NDX,C,2024-06-21,18343.43,544.4528,28,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4316399688032774
50,2024-04-08,2NDX,C,2024-06-21,18349.0,541.5654,4,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4310203007840106
51,2024-04-08,2NDX,C,2024-06-21,18388.0,521.3484,91,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4266127350060105
52,2024-04-08,2NDX,C,2024-06-21,18407.0,511.5753,4,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.424451093207752
53,2024-04-08,2NDX,C,2024-06-21,18435.81,497.0838,55,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4212476915351074
54,2024-04-08,2NDX,C,2024-06-21,18481.0,474.8674,10,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4162912604771152
55,2024-04-08,2NDX,C,2024-06-21,18487.38,471.7322,27,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4155780608300982
56,2024-04-08,2NDX,C,2024-06-21,18554.0,440.0572,68,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4083557708946903
57,2024-04-08,2NDX,C,2024-06-21,18554.91,439.6428,22,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4082620115917477
58,2024-04-08,2NDX,C,2024-06-21,18574.08,430.9123,628,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.406269799670079
59,2024-04-08,2NDX,C,2024-06-21,18574.18,430.8668,55,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.406259340486221
60,2024-04-08,2NDX,C,2024-06-21,18575.91,430.0789,137,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4060779412558578
61,2024-04-08,2NDX,C,2024-06-21,18582.0,427.3054,14,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4054372905034186
62,2024-04-08,2NDX,C,2024-06-21,18595.02,421.3762,82,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4040565788573427
63,2024-04-08,2NDX,C,2024-06-21,18653.0,395.5098,138,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.3979474563069616
64,2024-04-08,2NDX,C,2024-07-19,15000.01,3389.375,15,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,102,0.8313470153410164
65,2024-04-08,2NDX,P,2024-07-19,16000.01,136.5133,20,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,102,0.071347616659087
66,2024-04-08,2NDX,C,2024-08-16,16000.01,2573.035,18,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,130,0.640400115973247
67,2024-04-08,2NDX,C,2024-08-16,16500.01,2145.587,20,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,130,0.5842349214056781
68,2024-04-08,2NDX,C,2024-08-16,19000.01,514.02,22,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,130,0.3600416446442035
69,2024-04-08,2NDX,C,2024-09-20,15276.12,3338.334,17,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165,0.6733935614911113
70,2024-04-08,2NDX,P,2024-09-20,15276.12,169.3467,17,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165,0.1225541362327847
71,2024-04-08,2NDX,C,2024-09-20,15863.1,2824.074,34,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165,0.6135451419101406
72,2024-04-08,2NDX,P,2024-09-20,15863.1,228.2811,34,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165,0.0913022623597329
73,2024-04-08,2NDX,C,2024-09-20,15928.37,2768.05,26,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165,0.6070683448993021
74,2024-04-08,2NDX,P,2024-09-20,15928.37,235.9934,26,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165,0.0872717488682467
75,2024-04-08,2NDX,C,2024-09-20,16614.07,2198.995,112,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165,0.5417178318425225
76,2024-04-08,2NDX,C,2024-09-20,16655.85,2165.519,142,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165,0.5378759741904005
77,2024-04-08,2NDX,C,2024-09-20,16724.38,2110.983,47,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165,0.5316188926792006
78,2024-04-08,2NDX,C,2024-09-20,16797.33,2053.493,31,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165,0.5250288309383372
79,2024-04-08,2NDX,C,2024-09-20,17304.51,1669.662,87,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165,0.4809038615541564
