SYMBOL,P/C,DATE,EXPIRATION,TIME-TO-EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST
2DJX,P,2023-12-20,2024-01-19,30,330.01,0.2201,800
2DJX,C,2023-12-20,2024-01-19,30,340.01,32.8511,500
2DJX,C,2023-12-20,2024-01-19,30,350.01,23.1206,350
2DJX,C,2023-12-20,2024-03-15,86,358.99,19.3330,7832
2DJX,P,2023-12-20,2024-03-15,86,358.99,4.0435,7832
2DJX,C,2023-12-20,2024-03-15,86,360.6,18.0415,5608
2DJX,P,2023-12-20,2024-03-15,86,360.6,4.3416,5608
2DJX,C,2023-12-20,2024-03-15,86,364.85,14.7676,6928
2DJX,P,2023-12-20,2024-03-15,86,364.85,5.2641,6928
2DJX,C,2023-12-20,2024-03-15,86,364.87,14.7526,4157
2DJX,P,2023-12-20,2024-03-15,86,364.87,5.2689,4157
2DJX,C,2023-12-20,2024-03-15,86,365.01,14.6481,41
2DJX,P,2023-12-20,2024-03-15,86,365.01,5.3026,41
2DJX,C,2023-12-20,2024-03-15,86,365.28,14.4530,2768
2DJX,P,2023-12-20,2024-03-15,86,365.28,5.3740,2768
2DJX,C,2023-12-20,2024-03-15,86,371.71,10.1235,2719
2DJX,P,2023-12-20,2024-03-15,86,371.71,7.3935,2719
2DJX,C,2023-12-20,2024-03-15,86,376.0,7.6679,111
2DJX,P,2023-12-20,2024-03-15,86,376.0,9.1738,111
2DJX,C,2023-12-20,2024-03-15,86,376.34,7.4912,1342
2DJX,P,2023-12-20,2024-03-15,86,376.34,9.3327,1342
2DJX,C,2023-12-20,2024-03-15,86,378.51,6.4135,1067
2DJX,P,2023-12-20,2024-03-15,86,378.51,10.3977,1067
2DJX,C,2023-12-20,2024-03-15,86,378.84,6.2574,1066
2DJX,P,2023-12-20,2024-03-15,86,378.84,10.5674,1066
2DJX,C,2023-12-20,2024-03-15,86,379.5,5.9513,132
2DJX,P,2023-12-20,2024-03-15,86,379.5,10.9130,132
2DJX,C,2023-12-20,2024-03-15,86,379.8,5.8149,171
2DJX,P,2023-12-20,2024-03-15,86,379.8,11.0729,171
2DJX,C,2023-12-20,2024-04-19,121,340.0,38.0199,1300
2DJX,P,2023-12-20,2024-04-19,121,350.0,3.9345,400
2DJX,C,2023-12-20,2024-04-19,121,360.0,21.1649,500
2DJX,C,2023-12-20,2024-04-19,121,400.0,1.9783,1000
2DJX,P,2023-12-20,2024-08-16,240,360.0,9.4344,400
2DJX,C,2023-12-20,2024-09-20,275,363.89,27.8065,4245
2DJX,P,2023-12-20,2024-09-20,275,363.89,11.3484,4245
2DJX,C,2023-12-20,2024-12-20,366,240.47,137.6503,1173
2DJX,P,2023-12-20,2024-12-20,366,240.47,1.2673,1173
2DJX,C,2023-12-20,2024-12-20,366,251.15,127.7569,940
2DJX,P,2023-12-20,2024-12-20,366,251.15,1.5541,940
2DJX,C,2023-12-20,2024-12-20,366,261.01,118.6744,910
2DJX,P,2023-12-20,2024-12-20,366,261.01,1.8701,910
2DJX,C,2023-12-20,2024-12-20,366,262.81,117.0253,360
2DJX,P,2023-12-20,2024-12-20,366,262.81,1.9368,360
2DJX,C,2023-12-20,2024-12-20,366,264.12,115.8252,1700
2DJX,P,2023-12-20,2024-12-20,366,264.12,1.9854,1700
2DJX,C,2023-12-20,2024-12-20,366,265.31,114.7350,1614
2DJX,P,2023-12-20,2024-12-20,366,265.31,2.0295,1614
