   SYMBOL   P/C   EXPIRATION   STRIKE-PRICE   MARK-PRICE   OPEN-INTEREST
      2DJX     C   12 16 2022  00253 560     82.5881      1903                                                                                  
      2DJX     P   12 16 2022  00253 560      0.0001      1903                                                                                  
      2DJX     C   12 16 2022  00259 800     76.3547      2044                                                                                  
      2DJX     P   12 16 2022  00259 800      0.0001      2044                                                                                  
      2DJX     C   12 16 2022  00261 300     74.8563      1160                                                                                  
      2DJX     P   12 16 2022  00261 300      0.0002      1160                                                                                  
      2DJX     C   12 16 2022  00262 340     73.8174      1836                                                                                  
      2DJX     P   12 16 2022  00262 340      0.0003      1836                                                                                  
      2DJX     C   12 16 2022  00264 010     72.1493      3666                                                                                  
      2DJX     P   12 16 2022  00264 010      0.0004      3666                                                                                  
      2DJX     C   12 16 2022  00274 160     62.0134      1769                                                                                  
      2DJX     P   12 16 2022  00274 160      0.0040      1769                                                                                  
      2DJX     C   12 16 2022  00274 430     61.7439      2827                                                                                  
      2DJX     P   12 16 2022  00274 430      0.0043      2827                                                                                  
      2DJX     C   12 16 2022  00277 470     58.7107      1776                                                                                  
      2DJX     P   12 16 2022  00277 470      0.0079      1776                                                                                  
      2DJX     C   12 16 2022  00292 870     43.3852      1026                                                                                  
      2DJX     P   12 16 2022  00292 870      0.0665      1026                                                                                  
      2DJX     C   12 16 2022  00293 930     42.3311      3408                                                                                  
      2DJX     P   12 16 2022  00293 930      0.0712      3408                                                                                  
      2DJX     C   12 16 2022  00301 370     34.9322      8308                                                                                  
      2DJX     P   12 16 2022  00301 370      0.1046      8308                                                                                  
      2DJX     C   12 16 2022  00301 470     34.8328       831                                                                                  
      2DJX     P   12 16 2022  00301 470      0.1051       831                                                                                  
      2DJX     C   12 16 2022  00301 990     34.3156       805                                                                                  
      2DJX     P   12 16 2022  00301 990      0.1074       805                                                                                  
      2DJX     C   12 16 2022  00303 760     32.5554      1648                                                                                  
      2DJX     P   12 16 2022  00303 760      0.1153      1648                                                                                  
      2DJX     C   12 16 2022  00304 940     31.3819      3283                                                                                  
      2DJX     P   12 16 2022  00304 940      0.1206      3283                                                                                  
      2DJX     C   12 16 2022  00307 830     28.5270      1304                                                                                  
      2DJX     P   12 16 2022  00307 830      0.1528      1304                                                                                  
      2DJX     C   12 16 2022  00312 990     23.5091      2404                                                                                  
      2DJX     P   12 16 2022  00312 990      0.2895      2404                                                                                  
      2DJX     C   12 16 2022  00316 430     20.2218      1745                                                                                  
      2DJX     P   12 16 2022  00316 430      0.4386      1745                                                                                  
