Unnamed: 0,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,DATE
0,2DJX,C,06 21 2024,00381 070,8.4204,3957,05 31 2024
1,2DJX,P,06 21 2024,00381 070,1.5403,3957,05 31 2024
2,2DJX,C,06 21 2024,00382 140,7.5693,2356,05 31 2024
3,2DJX,P,06 21 2024,00382 140,1.7558,2356,05 31 2024
4,2DJX,C,06 21 2024,00383 800,6.3060,560,05 31 2024
5,2DJX,P,06 21 2024,00383 800,2.1475,560,05 31 2024
6,2DJX,C,06 21 2024,00384 030,6.1371,5888,05 31 2024
7,2DJX,P,06 21 2024,00384 030,2.2078,5888,05 31 2024
8,2DJX,C,06 21 2024,00384 070,6.1079,1962,05 31 2024
9,2DJX,P,06 21 2024,00384 070,2.2184,1962,05 31 2024
10,2DJX,C,06 21 2024,00384 380,5.8830,654,05 31 2024
11,2DJX,P,06 21 2024,00384 380,2.3026,654,05 31 2024
12,2DJX,C,06 21 2024,00386 640,4.3953,1682,05 31 2024
13,2DJX,P,06 21 2024,00386 640,3.0679,1682,05 31 2024
14,2DJX,C,06 21 2024,00386 810,4.2927,777,05 31 2024
15,2DJX,P,06 21 2024,00386 810,3.1349,777,05 31 2024
16,2DJX,C,06 21 2024,00389 800,2.6882,386,05 31 2024
17,2DJX,P,06 21 2024,00389 800,4.5111,386,05 31 2024
18,2DJX,C,06 21 2024,00390 100,2.5498,1286,05 31 2024
19,2DJX,P,06 21 2024,00390 100,4.6718,1286,05 31 2024
20,2DJX,C,06 21 2024,00390 500,2.3735,900,05 31 2024
21,2DJX,P,06 21 2024,00390 500,4.8942,900,05 31 2024
22,2DJX,C,06 21 2024,00391 160,2.0986,2587,05 31 2024
23,2DJX,P,06 21 2024,00391 160,5.2773,2587,05 31 2024
24,2DJX,C,06 21 2024,00392 730,1.5250,12888,05 31 2024
25,2DJX,P,06 21 2024,00392 730,6.2689,12888,05 31 2024
26,2DJX,C,06 21 2024,00392 820,1.4955,8375,05 31 2024
27,2DJX,P,06 21 2024,00392 820,6.3291,8375,05 31 2024
28,2DJX,C,06 21 2024,00393 000,1.4376,79,05 31 2024
29,2DJX,P,06 21 2024,00393 000,6.4507,79,05 31 2024
30,2DJX,C,06 21 2024,00393 300,1.3444,3860,05 31 2024
31,2DJX,P,06 21 2024,00393 300,6.6565,3860,05 31 2024
32,2DJX,C,06 21 2024,00393 310,1.3414,643,05 31 2024
33,2DJX,P,06 21 2024,00393 310,6.6634,643,05 31 2024
34,2DJX,C,06 21 2024,00395 010,0.8880,2920,05 31 2024
35,2DJX,P,06 21 2024,00395 010,7.9048,2920,05 31 2024
36,2DJX,C,06 21 2024,00395 130,0.8641,512,05 31 2024
37,2DJX,P,06 21 2024,00395 130,8.0006,512,05 31 2024
38,2DJX,C,06 21 2024,00395 250,0.8408,2536,05 31 2024
39,2DJX,P,06 21 2024,00395 250,8.0968,2536,05 31 2024
40,2DJX,C,06 21 2024,00397 000,0.5525,285,05 31 2024
41,2DJX,P,06 21 2024,00397 000,9.5531,285,05 31 2024
42,2DJX,C,06 21 2024,00400 300,0.2265,1379,05 31 2024
43,2DJX,P,06 21 2024,00400 300,12.5169,1379,05 31 2024
44,2DJX,C,09 20 2024,00363 890,30.0689,4245,05 31 2024
45,2DJX,P,09 20 2024,00363 890,2.4785,4245,05 31 2024
46,2DJX,C,10 18 2024,00400 000,7.2894,1000,05 31 2024
47,2DJX,C,10 18 2024,00400 010,7.2851,1000,05 31 2024
48,2DJX,C,11 15 2024,00400 000,9.2366,1000,05 31 2024
49,2DJX,C,11 15 2024,00400 010,9.2319,2000,05 31 2024
50,2DJX,C,12 20 2024,00240 470,151.1295,1173,05 31 2024
51,2DJX,P,12 20 2024,00240 470,0.3830,1173,05 31 2024
52,2DJX,C,12 20 2024,00251 150,140.9068,940,05 31 2024
53,2DJX,P,12 20 2024,00251 150,0.5316,940,05 31 2024
54,2DJX,C,12 20 2024,00261 010,131.4950,910,05 31 2024
55,2DJX,P,12 20 2024,00261 010,0.6946,910,05 31 2024
56,2DJX,C,12 20 2024,00262 810,129.7768,360,05 31 2024
57,2DJX,P,12 20 2024,00262 810,0.7244,360,05 31 2024
58,2DJX,C,12 20 2024,00264 120,128.5263,1700,05 31 2024
59,2DJX,P,12 20 2024,00264 120,0.7461,1700,05 31 2024
60,2DJX,C,12 20 2024,00265 310,127.3904,1614,05 31 2024
61,2DJX,P,12 20 2024,00265 310,0.7657,1614,05 31 2024
62,2DJX,C,12 20 2024,00265 890,126.8368,893,05 31 2024
63,2DJX,P,12 20 2024,00265 890,0.7753,893,05 31 2024
64,2DJX,C,12 20 2024,00266 520,126.2354,579,05 31 2024
65,2DJX,P,12 20 2024,00266 520,0.7858,579,05 31 2024
66,2DJX,C,12 20 2024,00268 000,124.8227,1062,05 31 2024
67,2DJX,P,12 20 2024,00268 000,0.8103,1062,05 31 2024
68,2DJX,C,12 20 2024,00270 260,122.6655,1100,05 31 2024
69,2DJX,P,12 20 2024,00270 260,0.8476,1100,05 31 2024
70,2DJX,C,12 20 2024,00270 910,122.0450,2113,05 31 2024
71,2DJX,P,12 20 2024,00270 910,0.8584,2113,05 31 2024
72,2DJX,C,12 20 2024,00271 050,121.9114,1233,05 31 2024
73,2DJX,P,12 20 2024,00271 050,0.8607,1233,05 31 2024
