Unnamed: 0,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,DATE
0,2DJX,C,06 21 2024,00381 070,18.5512,3957,05 20 2024
1,2DJX,P,06 21 2024,00381 070,0.7037,3957,05 20 2024
2,2DJX,C,06 21 2024,00384 030,15.7414,5888,05 20 2024
3,2DJX,P,06 21 2024,00384 030,0.8400,5888,05 20 2024
4,2DJX,C,06 21 2024,00384 070,15.7036,1962,05 20 2024
5,2DJX,P,06 21 2024,00384 070,0.8420,1962,05 20 2024
6,2DJX,C,06 21 2024,00384 380,15.4108,654,05 20 2024
7,2DJX,P,06 21 2024,00384 380,0.8577,654,05 20 2024
8,2DJX,C,06 21 2024,00386 640,13.3453,1682,05 20 2024
9,2DJX,P,06 21 2024,00386 640,1.0416,1682,05 20 2024
10,2DJX,C,06 21 2024,00390 100,10.3191,1286,05 20 2024
11,2DJX,P,06 21 2024,00390 100,1.4592,1286,05 20 2024
12,2DJX,C,06 21 2024,00390 500,9.9977,900,05 20 2024
13,2DJX,P,06 21 2024,00390 500,1.5359,900,05 20 2024
14,2DJX,C,06 21 2024,00391 160,9.4750,2587,05 20 2024
15,2DJX,P,06 21 2024,00391 160,1.6700,2587,05 20 2024
16,2DJX,C,06 21 2024,00392 730,8.2728,12888,05 20 2024
17,2DJX,P,06 21 2024,00392 730,2.0305,12888,05 20 2024
18,2DJX,C,06 21 2024,00392 820,8.2058,8375,05 20 2024
19,2DJX,P,06 21 2024,00392 820,2.0530,8375,05 20 2024
20,2DJX,C,06 21 2024,00393 000,8.0743,79,05 20 2024
21,2DJX,P,06 21 2024,00393 000,2.1008,79,05 20 2024
22,2DJX,C,06 21 2024,00393 300,7.8577,3860,05 20 2024
23,2DJX,P,06 21 2024,00393 300,2.1827,3860,05 20 2024
24,2DJX,C,06 21 2024,00393 310,7.8504,643,05 20 2024
25,2DJX,P,06 21 2024,00393 310,2.1854,643,05 20 2024
26,2DJX,C,06 21 2024,00395 010,6.6226,2920,05 20 2024
27,2DJX,P,06 21 2024,00395 010,2.6496,2920,05 20 2024
28,2DJX,C,06 21 2024,00395 130,6.5360,512,05 20 2024
29,2DJX,P,06 21 2024,00395 130,2.6824,512,05 20 2024
30,2DJX,C,06 21 2024,00397 000,5.1854,285,05 20 2024
31,2DJX,P,06 21 2024,00397 000,3.1930,285,05 20 2024
32,2DJX,C,06 21 2024,00400 300,3.0587,1379,05 20 2024
33,2DJX,P,06 21 2024,00400 300,4.3508,1379,05 20 2024
34,2DJX,C,09 20 2024,00363 890,40.7589,4245,05 20 2024
35,2DJX,P,09 20 2024,00363 890,1.8695,4245,05 20 2024
36,2DJX,C,10 18 2024,00400 010,13.9707,1000,05 20 2024
37,2DJX,C,11 15 2024,00400 000,16.0791,500,05 20 2024
38,2DJX,C,11 15 2024,00400 010,16.0729,2000,05 20 2024
39,2DJX,C,12 20 2024,00240 470,161.9980,1173,05 20 2024
40,2DJX,P,12 20 2024,00240 470,0.1340,1173,05 20 2024
41,2DJX,C,12 20 2024,00251 150,151.7205,940,05 20 2024
42,2DJX,P,12 20 2024,00251 150,0.2127,940,05 20 2024
43,2DJX,C,12 20 2024,00261 010,142.2660,910,05 20 2024
44,2DJX,P,12 20 2024,00261 010,0.3191,910,05 20 2024
45,2DJX,C,12 20 2024,00262 810,140.5445,360,05 20 2024
46,2DJX,P,12 20 2024,00262 810,0.3430,360,05 20 2024
47,2DJX,C,12 20 2024,00264 120,139.2925,1700,05 20 2024
48,2DJX,P,12 20 2024,00264 120,0.3613,1700,05 20 2024
49,2DJX,C,12 20 2024,00265 310,138.1560,1614,05 20 2024
50,2DJX,P,12 20 2024,00265 310,0.3787,1614,05 20 2024
51,2DJX,C,12 20 2024,00265 890,137.6024,893,05 20 2024
52,2DJX,P,12 20 2024,00265 890,0.3875,893,05 20 2024
53,2DJX,C,12 20 2024,00266 520,137.0015,579,05 20 2024
54,2DJX,P,12 20 2024,00266 520,0.3975,579,05 20 2024
55,2DJX,C,12 20 2024,00268 000,135.5902,1062,05 20 2024
56,2DJX,P,12 20 2024,00268 000,0.4213,1062,05 20 2024
