SYMBOL,P/C,DATE,EXPIRATION,TIME-TO-EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ-CLOSE,VOLUME
4DJX,C,2023-02-01,2023-02-02,1,356.29,0.0001,96,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-02,1,362.53,0.0001,18,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-02,1,363.42,0.0001,22,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-02,1,365.2,0.0001,19,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-02,1,370.54,0.0001,56,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-02,1,391.92,0.0001,19,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-09,8,357.68,0.0282,86,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-09,8,363.94,0.0045,28,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-09,8,364.83,0.0035,16,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-09,8,366.62,0.0027,9,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-09,8,371.99,0.0014,42,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-09,8,393.45,0.0001,9,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-14,13,345.66,1.7432,45,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-14,13,351.71,0.4586,12,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-14,13,352.57,0.3785,12,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-14,13,359.49,0.0751,21,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-17,16,343.12,3.1118,39,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-17,16,349.12,1.0529,12,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-17,16,356.84,0.2271,27,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-23,22,331.32,11.6399,78,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-23,22,337.12,7.3406,37,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-23,22,339.6,5.7421,10,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-23,22,344.57,3.2083,41,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-02-23,22,364.45,0.1234,10,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-03-01,28,332.95,10.9922,82,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-03-01,28,338.78,6.9249,21,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-03-01,28,339.61,6.4051,14,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-03-01,28,346.27,3.1387,47,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-03-02,29,338.91,6.9486,81,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-03-02,29,344.84,3.8411,25,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-03-02,29,347.38,2.8088,9,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
4DJX,C,2023-02-01,2023-03-02,29,352.47,1.376,56,34039.601563,34334.699219,33581.421875,34092.960938,34092.960938,370120000
