SYMBOL,P/C,DATE,EXPIRATION,TIME-TO-EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ-CLOSE,VOLUME
4NDX,C,2024-05-01,2024-05-07,6,18665.44,0.0279,662,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
4NDX,C,2024-05-01,2024-05-07,6,22289.8,0.0001,662,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
4NDX,C,2024-05-01,2024-05-14,13,18715.0,1.5897,714,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
4NDX,C,2024-05-01,2024-05-14,13,22348.98,0.0001,714,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
2NDX,P,2024-05-01,2024-05-17,16,16000.01,17.3521,22,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
4NDX,C,2024-05-01,2024-05-28,27,18030.56,102.0225,680,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
4NDX,C,2024-05-01,2024-05-28,27,21524.85,0.0006,680,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
4NDX,C,2024-05-01,2024-05-29,28,18087.66,94.1275,680,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
4NDX,C,2024-05-01,2024-05-29,28,21593.02,0.0007,680,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
4NDX,C,2024-05-01,2024-06-04,34,17998.79,145.5482,740,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
4NDX,C,2024-05-01,2024-06-04,34,21486.93,0.0067,740,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
2NDX,P,2024-05-01,2024-06-21,51,9500.01,0.3497,30,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
2NDX,P,2024-05-01,2024-06-21,51,9700.01,0.5353,15,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
2NDX,P,2024-05-01,2024-06-21,51,11500.01,3.075,15,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
2NDX,C,2024-05-01,2024-06-21,51,12000.01,5402.632,35,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
2NDX,C,2024-05-01,2024-06-21,51,13009.53,4403.801,20,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
2NDX,P,2024-05-01,2024-06-21,51,13009.53,7.3421,20,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
2NDX,P,2024-05-01,2024-06-21,51,13100.01,7.75,30,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
2NDX,C,2024-05-01,2024-06-21,51,13695.57,3726.961,119,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
2NDX,P,2024-05-01,2024-06-21,51,13695.57,11.4158,119,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
2NDX,C,2024-05-01,2024-06-21,51,13696.87,3725.681,19,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
2NDX,P,2024-05-01,2024-06-21,51,13696.87,11.4259,19,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
2NDX,P,2024-05-01,2024-06-21,51,15000.01,32.618,30,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
