,Unnamed: 0,DATE,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME,TIME-TO-EXPIRATION
59,59,2024-04-08,2NDX,C,2024-06-21,18287.0,574.5832,249,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
60,60,2024-04-08,2NDX,P,2024-06-21,18287.0,568.2438,249,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
61,61,2024-04-08,2NDX,C,2024-06-21,18339.0,546.7492,33,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
62,62,2024-04-08,2NDX,P,2024-06-21,18339.0,591.8489,33,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
63,63,2024-04-08,2NDX,C,2024-06-21,18342.98,544.6861,28,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
64,64,2024-04-08,2NDX,P,2024-06-21,18342.98,593.7228,28,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
65,65,2024-04-08,2NDX,C,2024-06-21,18343.43,544.4528,28,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
66,66,2024-04-08,2NDX,P,2024-06-21,18343.43,593.9347,28,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
67,67,2024-04-08,2NDX,C,2024-06-21,18349.0,541.5654,4,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
68,68,2024-04-08,2NDX,P,2024-06-21,18349.0,596.5572,4,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
69,69,2024-04-08,2NDX,C,2024-06-21,18388.0,521.3484,91,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
70,70,2024-04-08,2NDX,P,2024-06-21,18388.0,614.9194,91,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
71,71,2024-04-08,2NDX,C,2024-06-21,18407.0,511.5753,4,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
72,72,2024-04-08,2NDX,P,2024-06-21,18407.0,623.9413,4,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
73,73,2024-04-08,2NDX,C,2024-06-21,18435.81,497.0838,55,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
74,74,2024-04-08,2NDX,P,2024-06-21,18435.81,637.949,55,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
75,75,2024-04-08,2NDX,C,2024-06-21,18481.0,474.8674,10,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
76,76,2024-04-08,2NDX,P,2024-06-21,18481.0,660.4351,10,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
77,77,2024-04-08,2NDX,C,2024-06-21,18487.38,471.7322,27,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
78,78,2024-04-08,2NDX,P,2024-06-21,18487.38,663.6111,27,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
79,79,2024-04-08,2NDX,C,2024-06-21,18554.0,440.0572,68,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
80,80,2024-04-08,2NDX,P,2024-06-21,18554.0,697.8373,68,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
81,81,2024-04-08,2NDX,C,2024-06-21,18554.91,439.6428,22,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
82,82,2024-04-08,2NDX,P,2024-06-21,18554.91,698.323,22,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
83,83,2024-04-08,2NDX,C,2024-06-21,18574.08,430.9123,628,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
84,84,2024-04-08,2NDX,P,2024-06-21,18574.08,708.5558,628,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
85,85,2024-04-08,2NDX,C,2024-06-21,18574.18,430.8668,55,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
86,86,2024-04-08,2NDX,P,2024-06-21,18574.18,708.6092,55,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
87,87,2024-04-08,2NDX,C,2024-06-21,18575.91,430.0789,137,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
88,88,2024-04-08,2NDX,P,2024-06-21,18575.91,709.5326,137,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
89,89,2024-04-08,2NDX,C,2024-06-21,18582.0,427.3054,14,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
90,90,2024-04-08,2NDX,P,2024-06-21,18582.0,712.7834,14,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
91,91,2024-04-08,2NDX,C,2024-06-21,18595.02,421.3762,82,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
92,92,2024-04-08,2NDX,P,2024-06-21,18595.02,719.7337,82,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
93,93,2024-04-08,2NDX,C,2024-06-21,18653.0,395.5098,138,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
94,94,2024-04-08,2NDX,P,2024-06-21,18653.0,751.2218,138,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74
95,95,2024-04-08,2NDX,C,2024-07-19,15000.01,3389.375,15,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,102
96,96,2024-04-08,2NDX,P,2024-07-19,16000.01,136.5133,20,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,102
97,97,2024-04-08,2NDX,C,2024-08-16,16000.01,2573.035,18,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,130
98,98,2024-04-08,2NDX,C,2024-08-16,16500.01,2145.587,20,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,130
99,99,2024-04-08,2NDX,C,2024-08-16,19000.01,514.02,22,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,130
100,100,2024-04-08,2NDX,C,2024-09-20,15276.12,3338.334,17,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
101,101,2024-04-08,2NDX,P,2024-09-20,15276.12,169.3467,17,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
102,102,2024-04-08,2NDX,C,2024-09-20,15863.1,2824.074,34,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
103,103,2024-04-08,2NDX,P,2024-09-20,15863.1,228.2811,34,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
104,104,2024-04-08,2NDX,C,2024-09-20,15928.37,2768.05,26,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
105,105,2024-04-08,2NDX,P,2024-09-20,15928.37,235.9934,26,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
106,106,2024-04-08,2NDX,C,2024-09-20,16614.07,2198.995,112,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
107,107,2024-04-08,2NDX,P,2024-09-20,16614.07,336.5345,112,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
108,108,2024-04-08,2NDX,C,2024-09-20,16655.85,2165.519,142,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
109,109,2024-04-08,2NDX,P,2024-09-20,16655.85,343.8572,142,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
110,110,2024-04-08,2NDX,C,2024-09-20,16724.38,2110.983,47,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
111,111,2024-04-08,2NDX,P,2024-09-20,16724.38,356.2419,47,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
112,112,2024-04-08,2NDX,C,2024-09-20,16797.33,2053.493,31,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
113,113,2024-04-08,2NDX,P,2024-09-20,16797.33,369.9881,31,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
114,114,2024-04-08,2NDX,C,2024-09-20,17304.51,1669.662,87,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
115,115,2024-04-08,2NDX,P,2024-09-20,17304.51,481.4258,87,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
116,116,2024-04-08,2NDX,C,2024-09-20,17393.39,1605.523,164,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
117,117,2024-04-08,2NDX,P,2024-09-20,17393.39,504.0793,164,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
118,118,2024-04-08,2NDX,C,2024-09-20,17393.75,1605.265,15,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
119,119,2024-04-08,2NDX,P,2024-09-20,17393.75,504.1729,15,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
120,120,2024-04-08,2NDX,C,2024-09-20,17394.71,1604.577,74,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
121,121,2024-04-08,2NDX,P,2024-09-20,17394.71,504.4225,74,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,165
