,Unnamed: 0,DATE,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME,TIME-TO-EXPIRATION
0,0,2024-04-08,2DJX,C,2024-06-21,391.16,8.6594,2587,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74
1,1,2024-04-08,2DJX,P,2024-06-21,391.16,6.598,2587,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74
2,2,2024-04-08,2DJX,C,2024-06-21,392.73,7.9718,12888,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74
3,3,2024-04-08,2DJX,P,2024-06-21,392.73,7.4634,12888,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74
4,4,2024-04-08,2DJX,C,2024-06-21,392.82,7.9339,8375,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74
5,5,2024-04-08,2DJX,P,2024-06-21,392.82,7.5145,8375,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74
6,6,2024-04-08,2DJX,C,2024-06-21,393.0,7.8585,79,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74
7,7,2024-04-08,2DJX,P,2024-06-21,393.0,7.6172,79,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74
8,8,2024-04-08,2DJX,C,2024-06-21,393.3,7.7343,3860,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74
9,9,2024-04-08,2DJX,P,2024-06-21,393.3,7.7898,3860,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74
10,10,2024-04-08,2DJX,C,2024-06-21,393.31,7.7302,643,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74
11,11,2024-04-08,2DJX,P,2024-06-21,393.31,7.7956,643,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74
12,12,2024-04-08,2DJX,C,2024-06-21,395.13,7.0046,512,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74
13,13,2024-04-08,2DJX,P,2024-06-21,395.13,8.8703,512,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74
14,14,2024-04-08,2DJX,P,2024-08-16,360.0,3.057,400,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,130
15,15,2024-04-08,2DJX,C,2024-09-20,363.89,35.5991,4245,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,165
16,16,2024-04-08,2DJX,P,2024-09-20,363.89,4.3198,4245,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,165
17,17,2024-04-08,2DJX,C,2024-10-18,400.01,12.7671,1000,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,193
18,18,2024-04-08,2DJX,C,2024-11-15,400.01,14.6793,2000,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,221
19,19,2024-04-08,2DJX,C,2024-12-20,240.47,156.1112,1173,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
20,20,2024-04-08,2DJX,P,2024-12-20,240.47,1.0542,1173,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
21,21,2024-04-08,2DJX,C,2024-12-20,251.15,145.9119,940,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
22,22,2024-04-08,2DJX,P,2024-12-20,251.15,1.1558,940,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
23,23,2024-04-08,2DJX,C,2024-12-20,261.01,136.4956,910,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
24,24,2024-04-08,2DJX,P,2024-12-20,261.01,1.2497,910,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
25,25,2024-04-08,2DJX,C,2024-12-20,262.81,134.7767,360,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
26,26,2024-04-08,2DJX,P,2024-12-20,262.81,1.2668,360,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
27,27,2024-04-08,2DJX,C,2024-12-20,264.12,133.5256,1700,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
28,28,2024-04-08,2DJX,P,2024-12-20,264.12,1.2793,1700,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
29,29,2024-04-08,2DJX,C,2024-12-20,265.31,132.3892,1614,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
30,30,2024-04-08,2DJX,P,2024-12-20,265.31,1.2906,1614,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
31,31,2024-04-08,2DJX,C,2024-12-20,265.89,131.8353,893,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
32,32,2024-04-08,2DJX,P,2024-12-20,265.89,1.2962,893,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
33,33,2024-04-08,2DJX,C,2024-12-20,266.52,131.2337,579,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
34,34,2024-04-08,2DJX,P,2024-12-20,266.52,1.3022,579,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
35,35,2024-04-08,2DJX,C,2024-12-20,268.0,129.8204,1062,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
36,36,2024-04-08,2DJX,P,2024-12-20,268.0,1.3163,1062,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
37,37,2024-04-08,2DJX,C,2024-12-20,270.26,127.6622,1100,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
38,38,2024-04-08,2DJX,P,2024-12-20,270.26,1.3379,1100,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
39,39,2024-04-08,2DJX,C,2024-12-20,270.91,127.0414,2113,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
40,40,2024-04-08,2DJX,P,2024-12-20,270.91,1.3441,2113,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
41,41,2024-04-08,2DJX,C,2024-12-20,271.05,126.9077,1233,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
42,42,2024-04-08,2DJX,P,2024-12-20,271.05,1.3454,1233,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
43,43,2024-04-08,2DJX,C,2024-12-20,271.08,126.8791,528,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
44,44,2024-04-08,2DJX,P,2024-12-20,271.08,1.3457,528,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
45,45,2024-04-08,2DJX,C,2024-12-20,271.75,126.2393,1078,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
46,46,2024-04-08,2DJX,P,2024-12-20,271.75,1.3522,1078,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
47,47,2024-04-08,2DJX,C,2024-12-20,273.52,124.5491,715,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
48,48,2024-04-08,2DJX,P,2024-12-20,273.52,1.3692,715,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
49,49,2024-04-08,2DJX,C,2024-12-20,276.52,121.6871,1721,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
50,50,2024-04-08,2DJX,P,2024-12-20,276.52,1.4007,1721,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
51,51,2024-04-08,2DJX,C,2024-12-20,280.54,117.8697,1738,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
52,52,2024-04-08,2DJX,P,2024-12-20,280.54,1.4606,1738,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256
