SYMBOL,P/C,DATE,EXPIRATION,TIME-TO-EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST
2DJX,C,2022-12-19,2023-05-19,151,300.0,37.9982,400
2DJX,C,2022-12-19,2023-09-15,270,346.2,16.2220,22185
2DJX,P,2022-12-19,2023-09-15,270,346.2,28.9244,22185
2DJX,C,2022-12-19,2023-09-15,270,347.53,15.6386,4421
2DJX,P,2022-12-19,2023-09-15,270,347.53,29.6252,4421
2DJX,C,2022-12-19,2023-12-15,361,226.45,111.3182,424
2DJX,P,2022-12-19,2023-12-15,361,226.45,4.0388,424
2DJX,C,2022-12-19,2023-12-15,361,242.97,96.2892,3131
2DJX,P,2022-12-19,2023-12-15,361,242.97,4.7756,3131
2DJX,C,2022-12-19,2023-12-15,361,247.22,92.6718,1558
2DJX,P,2022-12-19,2023-12-15,361,247.22,5.2141,1558
2DJX,C,2022-12-19,2023-12-15,361,257.17,84.2164,5957
2DJX,P,2022-12-19,2023-12-15,361,257.17,6.2544,5957
2DJX,C,2022-12-19,2023-12-15,361,297.41,52.8915,1000
2DJX,P,2022-12-19,2023-12-15,361,297.41,13.3322,1000
2DJX,C,2022-12-19,2023-12-15,361,297.61,52.7464,973
2DJX,P,2022-12-19,2023-12-15,361,297.61,13.3780,973
2DJX,P,2022-12-19,2023-12-15,361,301.0,14.1610,950
2DJX,C,2022-12-19,2023-12-15,361,301.29,50.0845,800
2DJX,P,2022-12-19,2023-12-15,361,301.29,14.2280,800
2DJX,C,2022-12-19,2023-12-15,361,305.34,47.1840,953
2DJX,P,2022-12-19,2023-12-15,361,305.34,15.1926,953
2DJX,C,2022-12-19,2023-12-15,361,309.8,44.1774,8308
2DJX,P,2022-12-19,2023-12-15,361,309.8,16.4424,8308
2DJX,C,2022-12-19,2023-12-15,361,313.34,41.7910,1648
2DJX,P,2022-12-19,2023-12-15,361,313.34,17.4344,1648
2DJX,C,2022-12-19,2023-12-15,361,314.98,40.6889,3283
