SYMBOL,P/C,DATE,EXPIRATION,TIME-TO-EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST
2DJX,C,2024-05-29,2024-06-21,23,381.07,6.7835,3957
2DJX,P,2024-05-29,2024-06-21,23,381.07,2.6253,3957
2DJX,C,2024-05-29,2024-06-21,23,384.03,4.8276,5888
2DJX,P,2024-05-29,2024-06-21,23,384.03,3.6194,5888
2DJX,C,2024-05-29,2024-06-21,23,384.07,4.8031,1962
2DJX,P,2024-05-29,2024-06-21,23,384.07,3.6348,1962
2DJX,C,2024-05-29,2024-06-21,23,384.38,4.6153,654
2DJX,P,2024-05-29,2024-06-21,23,384.38,3.7559,654
2DJX,C,2024-05-29,2024-06-21,23,386.64,3.3604,1682
2DJX,P,2024-05-29,2024-06-21,23,386.64,4.7534,1682
2DJX,C,2024-05-29,2024-06-21,23,386.81,3.2742,777
2DJX,P,2024-05-29,2024-06-21,23,386.81,4.8365,777
2DJX,C,2024-05-29,2024-06-21,23,389.8,1.9502,386
2DJX,P,2024-05-29,2024-06-21,23,389.8,6.4924,386
2DJX,C,2024-05-29,2024-06-21,23,390.1,1.8448,1286
2DJX,P,2024-05-29,2024-06-21,23,390.1,6.6861,1286
2DJX,C,2024-05-29,2024-06-21,23,390.5,1.7277,900
2DJX,P,2024-05-29,2024-06-21,23,390.5,6.9676,900
2DJX,C,2024-05-29,2024-06-21,23,391.16,1.5468,2587
2DJX,P,2024-05-29,2024-06-21,23,391.16,7.4445,2587
2DJX,C,2024-05-29,2024-06-21,23,392.73,1.1747,12888
2DJX,P,2024-05-29,2024-06-21,23,392.73,8.6370,12888
2DJX,C,2024-05-29,2024-06-21,23,392.82,1.1557,8375
2DJX,P,2024-05-29,2024-06-21,23,392.82,8.7077,8375
2DJX,C,2024-05-29,2024-06-21,23,393.0,1.1184,79
2DJX,P,2024-05-29,2024-06-21,23,393.0,8.8498,79
2DJX,C,2024-05-29,2024-06-21,23,393.3,1.0584,3860
2DJX,P,2024-05-29,2024-06-21,23,393.3,9.0888,3860
2DJX,C,2024-05-29,2024-06-21,23,393.31,1.0565,643
2DJX,P,2024-05-29,2024-06-21,23,393.31,9.0968,643
2DJX,C,2024-05-29,2024-06-21,23,395.01,0.7635,2920
2DJX,P,2024-05-29,2024-06-21,23,395.01,10.4981,2920
2DJX,C,2024-05-29,2024-06-21,23,395.13,0.7458,512
2DJX,P,2024-05-29,2024-06-21,23,395.13,10.6001,512
2DJX,C,2024-05-29,2024-06-21,23,395.25,0.7285,2536
2DJX,P,2024-05-29,2024-06-21,23,395.25,10.7023,2536
2DJX,C,2024-05-29,2024-06-21,23,397.0,0.5111,285
2DJX,P,2024-05-29,2024-06-21,23,397.0,12.2290,285
2DJX,C,2024-05-29,2024-06-21,23,400.3,0.2497,1379
2DJX,P,2024-05-29,2024-06-21,23,400.3,15.2564,1379
2DJX,C,2024-05-29,2024-09-20,114,363.89,28.0505,4245
2DJX,P,2024-05-29,2024-09-20,114,363.89,3.1576,4245
2DJX,C,2024-05-29,2024-10-18,142,400.01,6.5405,1000
2DJX,C,2024-05-29,2024-11-15,170,400.0,8.4662,500
2DJX,C,2024-05-29,2024-11-15,170,400.01,8.4615,2000
2DJX,C,2024-05-29,2024-12-20,205,240.47,150.3196,1173
2DJX,P,2024-05-29,2024-12-20,205,240.47,2.2425,1173
2DJX,C,2024-05-29,2024-12-20,205,251.15,140.0375,940
