SYMBOL,P/C,DATE,EXPIRATION,TIME-TO-EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST
2DJX,C,2024-05-30,2024-06-21,22,381.07,4.8380,3957
2DJX,P,2024-05-30,2024-06-21,22,381.07,3.6926,3957
2DJX,C,2024-05-30,2024-06-21,22,384.03,3.2594,5888
2DJX,P,2024-05-30,2024-06-21,22,384.03,5.0644,5888
2DJX,C,2024-05-30,2024-06-21,22,384.07,3.2403,1962
2DJX,P,2024-05-30,2024-06-21,22,384.07,5.0852,1962
2DJX,C,2024-05-30,2024-06-21,22,384.38,3.0948,654
2DJX,P,2024-05-30,2024-06-21,22,384.38,5.2487,654
2DJX,C,2024-05-30,2024-06-21,22,386.64,2.1676,1682
2DJX,P,2024-05-30,2024-06-21,22,386.64,6.5742,1682
2DJX,C,2024-05-30,2024-06-21,22,386.81,2.1064,777
2DJX,P,2024-05-30,2024-06-21,22,386.81,6.6825,777
2DJX,C,2024-05-30,2024-06-21,22,389.8,1.2085,386
2DJX,P,2024-05-30,2024-06-21,22,389.8,8.7649,386
2DJX,C,2024-05-30,2024-06-21,22,390.1,1.1377,1286
2DJX,P,2024-05-30,2024-06-21,22,390.1,8.9931,1286
2DJX,C,2024-05-30,2024-06-21,22,390.5,1.0516,900
2DJX,P,2024-05-30,2024-06-21,22,390.5,9.3057,900
2DJX,C,2024-05-30,2024-06-21,22,391.16,0.9203,2587
2DJX,P,2024-05-30,2024-06-21,22,391.16,9.8323,2587
2DJX,C,2024-05-30,2024-06-21,22,392.73,0.6577,12888
2DJX,P,2024-05-30,2024-06-21,22,392.73,11.1346,12888
2DJX,C,2024-05-30,2024-06-21,22,392.82,0.6446,8375
2DJX,P,2024-05-30,2024-06-21,22,392.82,11.2112,8375
2DJX,C,2024-05-30,2024-06-21,22,393.0,0.6191,79
2DJX,P,2024-05-30,2024-06-21,22,393.0,11.3651,79
2DJX,C,2024-05-30,2024-06-21,22,393.3,0.5782,3860
2DJX,P,2024-05-30,2024-06-21,22,393.3,11.6233,3860
2DJX,C,2024-05-30,2024-06-21,22,393.31,0.5769,643
2DJX,P,2024-05-30,2024-06-21,22,393.31,11.6320,643
2DJX,C,2024-05-30,2024-06-21,22,395.01,0.3842,2920
2DJX,P,2024-05-30,2024-06-21,22,395.01,13.1338,2920
2DJX,C,2024-05-30,2024-06-21,22,395.13,0.3751,512
2DJX,P,2024-05-30,2024-06-21,22,395.13,13.2443,512
2DJX,C,2024-05-30,2024-06-21,22,395.25,0.3662,2536
2DJX,P,2024-05-30,2024-06-21,22,395.25,13.3549,2536
2DJX,C,2024-05-30,2024-06-21,22,397.0,0.2561,285
2DJX,P,2024-05-30,2024-06-21,22,397.0,14.9892,285
2DJX,C,2024-05-30,2024-06-21,22,400.3,0.1273,1379
2DJX,P,2024-05-30,2024-06-21,22,400.3,18.1497,1379
2DJX,C,2024-05-30,2024-09-20,113,363.89,25.5406,4245
2DJX,P,2024-05-30,2024-09-20,113,363.89,3.5441,4245
2DJX,C,2024-05-30,2024-10-18,141,400.01,5.5017,1000
2DJX,C,2024-05-30,2024-11-15,169,400.0,7.2090,500
2DJX,C,2024-05-30,2024-11-15,169,400.01,7.2051,2000
2DJX,C,2024-05-30,2024-12-20,204,240.47,146.9313,1173
2DJX,P,2024-05-30,2024-12-20,204,240.47,1.9148,1173
2DJX,C,2024-05-30,2024-12-20,204,251.15,136.6922,940
2DJX,P,2024-05-30,2024-12-20,204,251.15,2.0451,940
2DJX,C,2024-05-30,2024-12-20,204,261.01,127.2394,910
2DJX,P,2024-05-30,2024-12-20,204,261.01,2.1656,910
2DJX,C,2024-05-30,2024-12-20,204,262.81,125.5138,360
2DJX,P,2024-05-30,2024-12-20,204,262.81,2.1876,360
