,DATE,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME,TIME-TO-EXPIRATION,IV
33,2024-04-08,2NDX,C,2024-06-21,16716.66,1718.649,17,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.00000001073278
34,2024-04-08,2NDX,P,2024-06-21,16716.66,158.912,17,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.00000001073278
35,2024-04-08,2NDX,C,2024-06-21,17888.35,813.5634,57,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000000004305402
36,2024-04-08,2NDX,P,2024-06-21,17888.35,412.875,57,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.0000000043058
37,2024-04-08,2NDX,C,2024-06-21,18143.84,655.8669,14,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000001076052335
38,2024-04-08,2NDX,P,2024-06-21,18143.84,507.9121,14,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000001076052596
39,2024-04-08,2NDX,C,2024-06-21,18157.0,648.1589,98,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000000000000153
40,2024-04-08,2NDX,P,2024-06-21,18157.0,513.2221,98,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,14.999999999999964
41,2024-04-08,2NDX,C,2024-06-21,18208.0,618.736,8,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000000000001034
42,2024-04-08,2NDX,P,2024-06-21,18208.0,534.249,8,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.00000000000122
43,2024-04-08,2NDX,C,2024-06-21,18226.0,608.4521,139,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000000000002
44,2024-04-08,2NDX,P,2024-06-21,18226.0,541.7709,139,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000000000002242
45,2024-04-08,2NDX,C,2024-06-21,18252.0,593.6301,111,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000000000005038
46,2024-04-08,2NDX,P,2024-06-21,18252.0,552.6684,111,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.00000000000491
47,2024-04-08,2NDX,C,2024-06-21,18258.07,590.3167,181,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000000000006224
48,2024-04-08,2NDX,P,2024-06-21,18258.07,555.3594,181,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.00000000000603
49,2024-04-08,2NDX,C,2024-06-21,18258.33,590.1752,251,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000000000006242
50,2024-04-08,2NDX,P,2024-06-21,18258.33,555.4752,251,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000000000005912
51,2024-04-08,2NDX,C,2024-06-21,18261.75,588.3153,28,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000000000007049
52,2024-04-08,2NDX,P,2024-06-21,18261.75,556.9984,28,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000000000006958
53,2024-04-08,2NDX,C,2024-06-21,18264.75,586.6837,139,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.0000000000077
54,2024-04-08,2NDX,P,2024-06-21,18264.75,558.3345,139,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000000000007264
55,2024-04-08,2NDX,C,2024-06-21,18268.77,584.4975,28,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000000000008823
56,2024-04-08,2NDX,P,2024-06-21,18268.77,560.1248,28,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000000000008704
57,2024-04-08,2NDX,C,2024-06-21,18274.0,581.6532,55,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000000000010456
58,2024-04-08,2NDX,P,2024-06-21,18274.0,562.4541,55,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000000000011076
59,2024-04-08,2NDX,C,2024-06-21,18287.0,574.5832,249,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000000000016117
60,2024-04-08,2NDX,P,2024-06-21,18287.0,568.2438,249,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,15.000000000016271
