Unnamed: 0,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,DATE
0,2DJX,C,06 21 2024,00381 070,7.5244,3957,06 18 2024
1,2DJX,P,06 21 2024,00381 070,0.0663,3957,06 18 2024
2,2DJX,C,06 21 2024,00382 140,6.4766,2356,06 18 2024
3,2DJX,P,06 21 2024,00382 140,0.0880,2356,06 18 2024
4,2DJX,C,06 21 2024,00383 800,4.8666,560,06 18 2024
5,2DJX,P,06 21 2024,00383 800,0.1372,560,06 18 2024
6,2DJX,C,06 21 2024,00384 030,4.6455,5888,06 18 2024
7,2DJX,P,06 21 2024,00384 030,0.1460,5888,06 18 2024
8,2DJX,C,06 21 2024,00384 070,4.6071,1962,06 18 2024
9,2DJX,P,06 21 2024,00384 070,0.1476,1962,06 18 2024
10,2DJX,C,06 21 2024,00384 380,4.3101,654,06 18 2024
11,2DJX,P,06 21 2024,00384 380,0.1605,654,06 18 2024
12,2DJX,C,06 21 2024,00385 450,3.3327,6499,06 18 2024
13,2DJX,P,06 21 2024,00385 450,0.2526,6499,06 18 2024
14,2DJX,C,06 21 2024,00386 300,2.6460,7776,06 18 2024
15,2DJX,P,06 21 2024,00386 300,0.4155,7776,06 18 2024
16,2DJX,C,06 21 2024,00386 640,2.3905,1682,06 18 2024
17,2DJX,P,06 21 2024,00386 640,0.4998,1682,06 18 2024
18,2DJX,C,06 21 2024,00386 810,2.2673,777,06 18 2024
19,2DJX,P,06 21 2024,00386 810,0.5466,777,06 18 2024
20,2DJX,C,06 21 2024,00388 090,1.4485,2580,06 18 2024
21,2DJX,P,06 21 2024,00388 090,1.0072,2580,06 18 2024
22,2DJX,C,06 21 2024,00388 550,1.2046,2579,06 18 2024
23,2DJX,P,06 21 2024,00388 550,1.2232,2579,06 18 2024
24,2DJX,C,06 21 2024,00389 070,0.9623,1030,06 18 2024
25,2DJX,P,06 21 2024,00389 070,1.5006,1030,06 18 2024
26,2DJX,C,06 21 2024,00389 110,0.9451,1030,06 18 2024
27,2DJX,P,06 21 2024,00389 110,1.5234,1030,06 18 2024
28,2DJX,C,06 21 2024,00389 390,0.8306,771,06 18 2024
29,2DJX,P,06 21 2024,00389 390,1.6887,771,06 18 2024
30,2DJX,C,06 21 2024,00389 800,0.6807,386,06 18 2024
31,2DJX,P,06 21 2024,00389 800,1.9487,386,06 18 2024
32,2DJX,C,06 21 2024,00390 100,0.5872,1286,06 18 2024
33,2DJX,P,06 21 2024,00390 100,2.1550,1286,06 18 2024
34,2DJX,C,06 21 2024,00390 310,0.5321,513,06 18 2024
