,DATE,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME
0,2024-04-08,5211.370117,5219.569824,5197.350098,5202.390137,5202.390137,3278180000
1,2024-04-09,5217.029785,5224.810059,5160.779785,5209.910156,5209.910156,3400680000
2,2024-04-10,5167.879883,5178.430176,5138.700195,5160.640137,5160.640137,3845930000
3,2024-04-11,5172.950195,5211.779785,5138.77002,5199.060059,5199.060059,3509380000
4,2024-04-12,5171.509766,5175.029785,5107.939941,5123.410156,5123.410156,3963220000
5,2024-04-15,5149.669922,5168.430176,5052.470215,5061.819824,5061.819824,3950210000
6,2024-04-16,5064.589844,5079.839844,5039.830078,5051.410156,5051.410156,4006200000
7,2024-04-17,5068.970215,5077.959961,5007.25,5022.209961,5022.209961,3596130000
8,2024-04-18,5031.52002,5056.660156,5001.890137,5011.120117,5011.120117,3619760000
9,2024-04-19,5005.439941,5019.02002,4953.560059,4967.22998,4967.22998,3878750000
10,2024-04-22,4987.330078,5038.839844,4969.399902,5010.600098,5010.600098,3820250000
11,2024-04-23,5028.850098,5076.120117,5027.959961,5070.549805,5070.549805,3751400000
12,2024-04-24,5084.859863,5089.47998,5047.02002,5071.629883,5071.629883,3656740000
13,2024-04-25,5019.879883,5057.75,4990.580078,5048.419922,5048.419922,3958050000
14,2024-04-26,5084.649902,5114.620117,5073.140137,5099.959961,5099.959961,3604140000
15,2024-04-29,5114.129883,5123.490234,5088.649902,5116.169922,5116.169922,3447450000
16,2024-04-30,5103.779785,5110.830078,5035.310059,5035.689941,5035.689941,4082470000
17,2024-05-01,5029.029785,5096.120117,5013.450195,5018.390137,5018.390137,4544170000
18,2024-05-02,5049.319824,5073.209961,5011.049805,5064.200195,5064.200195,4381660000
19,2024-05-03,5122.779785,5139.120117,5101.220215,5127.790039,5127.790039,3924990000
20,2024-05-06,5142.419922,5181.0,5142.419922,5180.740234,5180.740234,3683250000
21,2024-05-07,5187.200195,5200.22998,5178.959961,5187.700195,5187.700195,3987890000
22,2024-05-08,5168.97998,5191.950195,5165.859863,5187.669922,5187.669922,3842100000
23,2024-05-09,5189.029785,5215.299805,5180.410156,5214.080078,5214.080078,3727370000
